Name,Price,Reviews,Ratings
"Ramtons RF/203, 2 Door Direct Cool Fridge, 128 Litres - Silver(1YR WRTY)","KSh 28,099",4.2 out of 5(69),4.2 out of 5
Roch RFR-120S-I Single Door Refrigerator - 90 Litres - Silver (1Y WRTY),"KSh 16,299",4.2 out of 5(477),4.2 out of 5
Nunix 138L Double Door Fridge Energy Efficient (1YR WRTY),"KSh 27,500",3.9 out of 5(149),3.9 out of 5
Smart Pro SFR-120S-I Single Door Refrigerator - 90 Litres - Silver (1YR WRTY),"KSh 15,799",4.4 out of 5(22),4.4 out of 5
Ramtons RF/217 - 2 Door Direct Cool Fridge - 213 Litres - Silver (1YR WRTY),"KSh 33,176",4.7 out of 5(22),4.7 out of 5
Roch RFR-150DT-I Top-Mounted Defrost Fridge - 118L - Inox (1Y WRTY) (1YR WRTY),"KSh 36,000",4.2 out of 5(106),4.2 out of 5
"Nunix Fridge Double Door, 210L Energy Efficient BCD-210","KSh 36,850",4 out of 5(4),4 out of 5
"VON VRT-138DRHX Double Door FRIDGE 136L,INOX, (1YR WRTY)","KSh 29,009",4 out of 5(68),4 out of 5
Nunix 92L Single Door Fridge Energy Efficient BC-92 (1YR WRTY),"KSh 17,850",4.3 out of 5(88),4.3 out of 5
"Vitron VDR128DS, 125 Liters Double Door Fridge - Silver Hairline (1YR WRTY)","KSh 26,670",4.5 out of 5(108),4.5 out of 5
Ramtons RF/222 - 2 Door Fridge - 88 L - Silver Flower (1YR WRTY),"KSh 21,999",4 out of 5(87),4 out of 5
"Roch RFR-160DT-B Double Door Fridge, 126L - Silver (1YR WRTY)","KSh 25,799",4.2 out of 5(20),4.2 out of 5
"Roch RFR-210-DT-I Double Door Refrigerator, 170L - Silver, (1YR WRTY)","KSh 33,099",4.3 out of 5(88),4.3 out of 5
Ramtons RF/130- 213L 2 Door Direct Cool Fridge+ Dispenser (1YR WRTY),"KSh 48,100",4.5 out of 5(26),4.5 out of 5
Hisense 206L Double Door Refrigerator RD-27DR4SA  (2YRs WRTY),"KSh 41,050",4.4 out of 5(47),4.4 out of 5
"Smart Pro SFR-210-DT-I Double Door Refrigerator, 170L - Silver (1YR WRTY)","KSh 31,999",4.5 out of 5(6),4.5 out of 5
"Roch RFR-190S-I Single Door Refrigerator, 150L - Silver (1YR WRTY)","KSh 28,600",4.1 out of 5(11),4.1 out of 5
"Roch RFR-160DT-B Double Door Fridge, 126L ? Silver (1YR WRTY)","KSh 27,699",4.6 out of 5(27),4.6 out of 5
Haier HRD-1954CSS Single Door Direct Cool Fridge 190 Litres - Silver,"KSh 36,895",4.6 out of 5(16),4.6 out of 5
Hisense REF094DR - 94 Liters Fridge - Silver (2YRs WRTY),"KSh 19,500",4.3 out of 5(185),4.3 out of 5
Hisense 154L Double Door Refrigerator RD-20DR4SA  (2YRs WRTY),"KSh 38,999",4.2 out of 5(18),4.2 out of 5
"Smart Pro SFR 175-DT-I Double Door Refrigerator, 138L Silver (1YR WRTY)","KSh 27,299",4 out of 5(1),4 out of 5
Ramtons RF/257- 2 Door Direct Cool Fridge - 213 Litres - Silver (1YR WRTY),"KSh 46,900",4.8 out of 5(41),4.8 out of 5
Hisense RS-12DR4SA Single Door Direct Cool Fridge - 94L - Silver  (2YRs WRTY),"KSh 21,239",4.6 out of 5(50),4.6 out of 5
Roch RFR-150DT-I Top-Mounted Defrost Fridge - 118L ? Inox (1YR WRTY),"KSh 27,699",4.1 out of 5(39),4.1 out of 5
Ramtons RF/174 - 2 Door Direct Cool Fridge - 128 Litres - White (1YR WRTY),"KSh 29,500",4.3 out of 5(58),4.3 out of 5
Nunix 138L Double Door Fridge Energy Efficient BCD-138,"KSh 29,993",3.4 out of 5(5),3.4 out of 5
"Roch RFR-190S-I Single Door Refrigerator, 150L - Silver (1YR WRTY)","KSh 31,599",4.6 out of 5(110),4.6 out of 5
Ramtons RF/319- 430 LITERS SIDE BY SIDE LED NO FROST FRIDGE (1YR WRTY),"KSh 101,000",3.5 out of 5(2),3.5 out of 5
Ramtons RF/265 - 527L Side By Side LED Fridge - Silver (1YR WRTY),"KSh 149,300",5 out of 5(4),5 out of 5
Hisense REF094DR - 94L Single Door Fridge,"KSh 21,699",5 out of 5(2),5 out of 5
Hisense BLACK 176 Liters FRIDGE Single Door,"KSh 33,800",4 out of 5(1),4 out of 5
Volsmart 108L Double Door Fridge With A Larger Freezer Capacity (1YR WRTY),"KSh 24,300",3.3 out of 5(4),3.3 out of 5
VOLSMART  138L Double Door Refrigerator Top Mounted Freezer Reliable Quality 1yr Warranty,"KSh 27,995",4 out of 5(1),4 out of 5
"Ramtons RF/335 - 85L Single Door Refrigerator – Silver, (1YR WRTY)","KSh 15,999",4.1 out of 5(66),4.1 out of 5
Hisense 94 Liters Single Door Fridge REF094DR (2YRs WRTY),"KSh 16,799",4.4 out of 5(87),4.4 out of 5
"Ramtons RF/203, 2 Door Direct Cool Fridge, 128 Litres - Silver(1YR WRTY)","KSh 28,099",4.2 out of 5(69),4.2 out of 5
Roch RFR-120S-I Single Door Refrigerator - 90 Litres - Silver (1Y WRTY),"KSh 16,299",4.2 out of 5(477),4.2 out of 5
Nunix 138L Double Door Fridge Energy Efficient (1YR WRTY),"KSh 27,500",3.9 out of 5(149),3.9 out of 5
Smart Pro SFR-120S-I Single Door Refrigerator - 90 Litres - Silver (1YR WRTY),"KSh 15,799",4.4 out of 5(22),4.4 out of 5
Ramtons RF/217 - 2 Door Direct Cool Fridge - 213 Litres - Silver (1YR WRTY),"KSh 33,176",4.7 out of 5(22),4.7 out of 5
Roch RFR-150DT-I Top-Mounted Defrost Fridge - 118L - Inox (1Y WRTY) (1YR WRTY),"KSh 36,000",4.2 out of 5(106),4.2 out of 5
"Nunix Fridge Double Door, 210L Energy Efficient BCD-210","KSh 36,850",4 out of 5(4),4 out of 5
"VON VRT-138DRHX Double Door FRIDGE 136L,INOX, (1YR WRTY)","KSh 29,009",4 out of 5(68),4 out of 5
Nunix 92L Single Door Fridge Energy Efficient BC-92 (1YR WRTY),"KSh 17,850",4.3 out of 5(88),4.3 out of 5
"Vitron VDR128DS, 125 Liters Double Door Fridge - Silver Hairline (1YR WRTY)","KSh 26,670",4.5 out of 5(108),4.5 out of 5
Ramtons RF/222 - 2 Door Fridge - 88 L - Silver Flower (1YR WRTY),"KSh 21,999",4 out of 5(87),4 out of 5
"Roch RFR-160DT-B Double Door Fridge, 126L - Silver (1YR WRTY)","KSh 25,799",4.2 out of 5(20),4.2 out of 5
"Roch RFR-210-DT-I Double Door Refrigerator, 170L - Silver, (1YR WRTY)","KSh 33,099",4.3 out of 5(88),4.3 out of 5
Ramtons RF/130- 213L 2 Door Direct Cool Fridge+ Dispenser (1YR WRTY),"KSh 48,100",4.5 out of 5(26),4.5 out of 5
Hisense 206L Double Door Refrigerator RD-27DR4SA  (2YRs WRTY),"KSh 41,050",4.4 out of 5(47),4.4 out of 5
"Smart Pro SFR-210-DT-I Double Door Refrigerator, 170L - Silver (1YR WRTY)","KSh 31,999",4.5 out of 5(6),4.5 out of 5
"Roch RFR-190S-I Single Door Refrigerator, 150L - Silver (1YR WRTY)","KSh 28,600",4.1 out of 5(11),4.1 out of 5
"Roch RFR-160DT-B Double Door Fridge, 126L ? Silver (1YR WRTY)","KSh 27,699",4.6 out of 5(27),4.6 out of 5
Haier HRD-1954CSS Single Door Direct Cool Fridge 190 Litres - Silver,"KSh 36,895",4.6 out of 5(16),4.6 out of 5
Hisense REF094DR - 94 Liters Fridge - Silver (2YRs WRTY),"KSh 19,500",4.3 out of 5(185),4.3 out of 5
Hisense 154L Double Door Refrigerator RD-20DR4SA  (2YRs WRTY),"KSh 38,999",4.2 out of 5(18),4.2 out of 5
"Smart Pro SFR 175-DT-I Double Door Refrigerator, 138L Silver (1YR WRTY)","KSh 27,299",4 out of 5(1),4 out of 5
Ramtons RF/257- 2 Door Direct Cool Fridge - 213 Litres - Silver (1YR WRTY),"KSh 46,900",4.8 out of 5(41),4.8 out of 5
Hisense RS-12DR4SA Single Door Direct Cool Fridge - 94L - Silver  (2YRs WRTY),"KSh 21,239",4.6 out of 5(50),4.6 out of 5
Roch RFR-150DT-I Top-Mounted Defrost Fridge - 118L ? Inox (1YR WRTY),"KSh 27,699",4.1 out of 5(39),4.1 out of 5
Ramtons RF/174 - 2 Door Direct Cool Fridge - 128 Litres - White (1YR WRTY),"KSh 29,500",4.3 out of 5(58),4.3 out of 5
Nunix 138L Double Door Fridge Energy Efficient BCD-138,"KSh 29,993",3.4 out of 5(5),3.4 out of 5
"Roch RFR-190S-I Single Door Refrigerator, 150L - Silver (1YR WRTY)","KSh 31,599",4.6 out of 5(110),4.6 out of 5
Ramtons RF/319- 430 LITERS SIDE BY SIDE LED NO FROST FRIDGE (1YR WRTY),"KSh 101,000",3.5 out of 5(2),3.5 out of 5
Ramtons RF/265 - 527L Side By Side LED Fridge - Silver (1YR WRTY),"KSh 149,300",5 out of 5(4),5 out of 5
Hisense REF094DR - 94L Single Door Fridge,"KSh 21,699",5 out of 5(2),5 out of 5
Hisense BLACK 176 Liters FRIDGE Single Door,"KSh 33,800",4 out of 5(1),4 out of 5
Volsmart 108L Double Door Fridge With A Larger Freezer Capacity (1YR WRTY),"KSh 24,300",3.3 out of 5(4),3.3 out of 5
VOLSMART  138L Double Door Refrigerator Top Mounted Freezer Reliable Quality 1yr Warranty,"KSh 27,995",4 out of 5(1),4 out of 5
"Ramtons RF/335 - 85L Single Door Refrigerator – Silver, (1YR WRTY)","KSh 15,999",4.1 out of 5(66),4.1 out of 5
Hisense 94 Liters Single Door Fridge REF094DR (2YRs WRTY),"KSh 16,799",4.4 out of 5(87),4.4 out of 5
"Ramtons RF/203, 2 Door Direct Cool Fridge, 128 Litres - Silver(1YR WRTY)","KSh 28,099",4.2 out of 5(69),4.2 out of 5
Roch RFR-120S-I Single Door Refrigerator - 90 Litres - Silver (1Y WRTY),"KSh 16,299",4.2 out of 5(477),4.2 out of 5
Nunix 138L Double Door Fridge Energy Efficient (1YR WRTY),"KSh 27,500",3.9 out of 5(149),3.9 out of 5
Smart Pro SFR-120S-I Single Door Refrigerator - 90 Litres - Silver (1YR WRTY),"KSh 15,799",4.4 out of 5(22),4.4 out of 5
Ramtons RF/217 - 2 Door Direct Cool Fridge - 213 Litres - Silver (1YR WRTY),"KSh 33,176",4.7 out of 5(22),4.7 out of 5
Roch RFR-150DT-I Top-Mounted Defrost Fridge - 118L - Inox (1Y WRTY) (1YR WRTY),"KSh 36,000",4.2 out of 5(106),4.2 out of 5
"Nunix Fridge Double Door, 210L Energy Efficient BCD-210","KSh 36,850",4 out of 5(4),4 out of 5
"VON VRT-138DRHX Double Door FRIDGE 136L,INOX, (1YR WRTY)","KSh 29,009",4 out of 5(68),4 out of 5
Nunix 92L Single Door Fridge Energy Efficient BC-92 (1YR WRTY),"KSh 17,850",4.3 out of 5(88),4.3 out of 5
"Vitron VDR128DS, 125 Liters Double Door Fridge - Silver Hairline (1YR WRTY)","KSh 26,670",4.5 out of 5(108),4.5 out of 5
Ramtons RF/222 - 2 Door Fridge - 88 L - Silver Flower (1YR WRTY),"KSh 21,999",4 out of 5(87),4 out of 5
"Roch RFR-160DT-B Double Door Fridge, 126L - Silver (1YR WRTY)","KSh 25,799",4.2 out of 5(20),4.2 out of 5
"Roch RFR-210-DT-I Double Door Refrigerator, 170L - Silver, (1YR WRTY)","KSh 33,099",4.3 out of 5(88),4.3 out of 5
Ramtons RF/130- 213L 2 Door Direct Cool Fridge+ Dispenser (1YR WRTY),"KSh 48,100",4.5 out of 5(26),4.5 out of 5
Hisense 206L Double Door Refrigerator RD-27DR4SA  (2YRs WRTY),"KSh 41,050",4.4 out of 5(47),4.4 out of 5
"Smart Pro SFR-210-DT-I Double Door Refrigerator, 170L - Silver (1YR WRTY)","KSh 31,999",4.5 out of 5(6),4.5 out of 5
"Roch RFR-190S-I Single Door Refrigerator, 150L - Silver (1YR WRTY)","KSh 28,600",4.1 out of 5(11),4.1 out of 5
"Roch RFR-160DT-B Double Door Fridge, 126L ? Silver (1YR WRTY)","KSh 27,699",4.6 out of 5(27),4.6 out of 5
Haier HRD-1954CSS Single Door Direct Cool Fridge 190 Litres - Silver,"KSh 36,895",4.6 out of 5(16),4.6 out of 5
Hisense REF094DR - 94 Liters Fridge - Silver (2YRs WRTY),"KSh 19,500",4.3 out of 5(185),4.3 out of 5
Hisense 154L Double Door Refrigerator RD-20DR4SA  (2YRs WRTY),"KSh 38,999",4.2 out of 5(18),4.2 out of 5
"Smart Pro SFR 175-DT-I Double Door Refrigerator, 138L Silver (1YR WRTY)","KSh 27,299",4 out of 5(1),4 out of 5
Ramtons RF/257- 2 Door Direct Cool Fridge - 213 Litres - Silver (1YR WRTY),"KSh 46,900",4.8 out of 5(41),4.8 out of 5
Hisense RS-12DR4SA Single Door Direct Cool Fridge - 94L - Silver  (2YRs WRTY),"KSh 21,239",4.6 out of 5(50),4.6 out of 5
Roch RFR-150DT-I Top-Mounted Defrost Fridge - 118L ? Inox (1YR WRTY),"KSh 27,699",4.1 out of 5(39),4.1 out of 5
Ramtons RF/174 - 2 Door Direct Cool Fridge - 128 Litres - White (1YR WRTY),"KSh 29,500",4.3 out of 5(58),4.3 out of 5
Nunix 138L Double Door Fridge Energy Efficient BCD-138,"KSh 29,993",3.4 out of 5(5),3.4 out of 5
"Roch RFR-190S-I Single Door Refrigerator, 150L - Silver (1YR WRTY)","KSh 31,599",4.6 out of 5(110),4.6 out of 5
Ramtons RF/319- 430 LITERS SIDE BY SIDE LED NO FROST FRIDGE (1YR WRTY),"KSh 101,000",3.5 out of 5(2),3.5 out of 5
Ramtons RF/265 - 527L Side By Side LED Fridge - Silver (1YR WRTY),"KSh 149,300",5 out of 5(4),5 out of 5
Hisense REF094DR - 94L Single Door Fridge,"KSh 21,699",5 out of 5(2),5 out of 5
Hisense BLACK 176 Liters FRIDGE Single Door,"KSh 33,800",4 out of 5(1),4 out of 5
Volsmart 108L Double Door Fridge With A Larger Freezer Capacity (1YR WRTY),"KSh 24,300",3.3 out of 5(4),3.3 out of 5
VOLSMART  138L Double Door Refrigerator Top Mounted Freezer Reliable Quality 1yr Warranty,"KSh 27,995",4 out of 5(1),4 out of 5
"Ramtons RF/335 - 85L Single Door Refrigerator – Silver, (1YR WRTY)","KSh 15,999",4.1 out of 5(66),4.1 out of 5
Hisense 94 Liters Single Door Fridge REF094DR (2YRs WRTY),"KSh 16,799",4.4 out of 5(87),4.4 out of 5
"Ramtons RF/203, 2 Door Direct Cool Fridge, 128 Litres - Silver(1YR WRTY)","KSh 28,099",4.2 out of 5(69),4.2 out of 5
Roch RFR-120S-I Single Door Refrigerator - 90 Litres - Silver (1Y WRTY),"KSh 16,299",4.2 out of 5(477),4.2 out of 5
Nunix 138L Double Door Fridge Energy Efficient (1YR WRTY),"KSh 27,500",3.9 out of 5(149),3.9 out of 5
Smart Pro SFR-120S-I Single Door Refrigerator - 90 Litres - Silver (1YR WRTY),"KSh 15,799",4.4 out of 5(22),4.4 out of 5
Ramtons RF/217 - 2 Door Direct Cool Fridge - 213 Litres - Silver (1YR WRTY),"KSh 33,176",4.7 out of 5(22),4.7 out of 5
Roch RFR-150DT-I Top-Mounted Defrost Fridge - 118L - Inox (1Y WRTY) (1YR WRTY),"KSh 36,000",4.2 out of 5(106),4.2 out of 5
"Nunix Fridge Double Door, 210L Energy Efficient BCD-210","KSh 36,850",4 out of 5(4),4 out of 5
"VON VRT-138DRHX Double Door FRIDGE 136L,INOX, (1YR WRTY)","KSh 29,009",4 out of 5(68),4 out of 5
Nunix 92L Single Door Fridge Energy Efficient BC-92 (1YR WRTY),"KSh 17,850",4.3 out of 5(88),4.3 out of 5
"Vitron VDR128DS, 125 Liters Double Door Fridge - Silver Hairline (1YR WRTY)","KSh 26,670",4.5 out of 5(108),4.5 out of 5
Ramtons RF/222 - 2 Door Fridge - 88 L - Silver Flower (1YR WRTY),"KSh 21,999",4 out of 5(87),4 out of 5
"Roch RFR-160DT-B Double Door Fridge, 126L - Silver (1YR WRTY)","KSh 25,799",4.2 out of 5(20),4.2 out of 5
"Roch RFR-210-DT-I Double Door Refrigerator, 170L - Silver, (1YR WRTY)","KSh 33,099",4.3 out of 5(88),4.3 out of 5
Ramtons RF/130- 213L 2 Door Direct Cool Fridge+ Dispenser (1YR WRTY),"KSh 48,100",4.5 out of 5(26),4.5 out of 5
Hisense 206L Double Door Refrigerator RD-27DR4SA  (2YRs WRTY),"KSh 41,050",4.4 out of 5(47),4.4 out of 5
"Smart Pro SFR-210-DT-I Double Door Refrigerator, 170L - Silver (1YR WRTY)","KSh 31,999",4.5 out of 5(6),4.5 out of 5
"Roch RFR-190S-I Single Door Refrigerator, 150L - Silver (1YR WRTY)","KSh 28,600",4.1 out of 5(11),4.1 out of 5
"Roch RFR-160DT-B Double Door Fridge, 126L ? Silver (1YR WRTY)","KSh 27,699",4.6 out of 5(27),4.6 out of 5
Haier HRD-1954CSS Single Door Direct Cool Fridge 190 Litres - Silver,"KSh 36,895",4.6 out of 5(16),4.6 out of 5
Hisense REF094DR - 94 Liters Fridge - Silver (2YRs WRTY),"KSh 19,500",4.3 out of 5(185),4.3 out of 5
Hisense 154L Double Door Refrigerator RD-20DR4SA  (2YRs WRTY),"KSh 38,999",4.2 out of 5(18),4.2 out of 5
"Smart Pro SFR 175-DT-I Double Door Refrigerator, 138L Silver (1YR WRTY)","KSh 27,299",4 out of 5(1),4 out of 5
Ramtons RF/257- 2 Door Direct Cool Fridge - 213 Litres - Silver (1YR WRTY),"KSh 46,900",4.8 out of 5(41),4.8 out of 5
Hisense RS-12DR4SA Single Door Direct Cool Fridge - 94L - Silver  (2YRs WRTY),"KSh 21,239",4.6 out of 5(50),4.6 out of 5
Roch RFR-150DT-I Top-Mounted Defrost Fridge - 118L ? Inox (1YR WRTY),"KSh 27,699",4.1 out of 5(39),4.1 out of 5
Ramtons RF/174 - 2 Door Direct Cool Fridge - 128 Litres - White (1YR WRTY),"KSh 29,500",4.3 out of 5(58),4.3 out of 5
Nunix 138L Double Door Fridge Energy Efficient BCD-138,"KSh 29,993",3.4 out of 5(5),3.4 out of 5
"Roch RFR-190S-I Single Door Refrigerator, 150L - Silver (1YR WRTY)","KSh 31,599",4.6 out of 5(110),4.6 out of 5
Ramtons RF/319- 430 LITERS SIDE BY SIDE LED NO FROST FRIDGE (1YR WRTY),"KSh 101,000",3.5 out of 5(2),3.5 out of 5
Ramtons RF/265 - 527L Side By Side LED Fridge - Silver (1YR WRTY),"KSh 149,300",5 out of 5(4),5 out of 5
Hisense REF094DR - 94L Single Door Fridge,"KSh 21,699",5 out of 5(2),5 out of 5
Hisense BLACK 176 Liters FRIDGE Single Door,"KSh 33,800",4 out of 5(1),4 out of 5
Volsmart 108L Double Door Fridge With A Larger Freezer Capacity (1YR WRTY),"KSh 24,300",3.3 out of 5(4),3.3 out of 5
VOLSMART  138L Double Door Refrigerator Top Mounted Freezer Reliable Quality 1yr Warranty,"KSh 27,995",4 out of 5(1),4 out of 5
"Ramtons RF/335 - 85L Single Door Refrigerator – Silver, (1YR WRTY)","KSh 15,999",4.1 out of 5(66),4.1 out of 5
Hisense 94 Liters Single Door Fridge REF094DR (2YRs WRTY),"KSh 16,799",4.4 out of 5(87),4.4 out of 5
"Ramtons RF/203, 2 Door Direct Cool Fridge, 128 Litres - Silver(1YR WRTY)","KSh 28,099",4.2 out of 5(69),4.2 out of 5
Roch RFR-120S-I Single Door Refrigerator - 90 Litres - Silver (1Y WRTY),"KSh 16,299",4.2 out of 5(477),4.2 out of 5
Nunix 138L Double Door Fridge Energy Efficient (1YR WRTY),"KSh 27,500",3.9 out of 5(149),3.9 out of 5
Smart Pro SFR-120S-I Single Door Refrigerator - 90 Litres - Silver (1YR WRTY),"KSh 15,799",4.4 out of 5(22),4.4 out of 5
Ramtons RF/217 - 2 Door Direct Cool Fridge - 213 Litres - Silver (1YR WRTY),"KSh 33,176",4.7 out of 5(22),4.7 out of 5
Roch RFR-150DT-I Top-Mounted Defrost Fridge - 118L - Inox (1Y WRTY) (1YR WRTY),"KSh 36,000",4.2 out of 5(106),4.2 out of 5
"Nunix Fridge Double Door, 210L Energy Efficient BCD-210","KSh 36,850",4 out of 5(4),4 out of 5
"VON VRT-138DRHX Double Door FRIDGE 136L,INOX, (1YR WRTY)","KSh 29,009",4 out of 5(68),4 out of 5
"Vitron VDR128DS, 125 Liters Double Door Fridge - Silver Hairline (1YR WRTY)","KSh 26,670",4.5 out of 5(108),4.5 out of 5
Nunix 92L Single Door Fridge Energy Efficient BC-92 (1YR WRTY),"KSh 17,850",4.3 out of 5(88),4.3 out of 5
Ramtons RF/222 - 2 Door Fridge - 88 L - Silver Flower (1YR WRTY),"KSh 21,999",4 out of 5(87),4 out of 5
"Roch RFR-160DT-B Double Door Fridge, 126L - Silver (1YR WRTY)","KSh 25,799",4.2 out of 5(20),4.2 out of 5
"Roch RFR-210-DT-I Double Door Refrigerator, 170L - Silver, (1YR WRTY)","KSh 33,099",4.3 out of 5(88),4.3 out of 5
Ramtons RF/130- 213L 2 Door Direct Cool Fridge+ Dispenser (1YR WRTY),"KSh 48,100",4.5 out of 5(26),4.5 out of 5
Hisense 206L Double Door Refrigerator RD-27DR4SA  (2YRs WRTY),"KSh 41,050",4.4 out of 5(47),4.4 out of 5
"Smart Pro SFR-210-DT-I Double Door Refrigerator, 170L - Silver (1YR WRTY)","KSh 31,999",4.5 out of 5(6),4.5 out of 5
"Roch RFR-190S-I Single Door Refrigerator, 150L - Silver (1YR WRTY)","KSh 28,600",4.1 out of 5(11),4.1 out of 5
"Roch RFR-160DT-B Double Door Fridge, 126L ? Silver (1YR WRTY)","KSh 27,699",4.6 out of 5(27),4.6 out of 5
Haier HRD-1954CSS Single Door Direct Cool Fridge 190 Litres - Silver,"KSh 36,895",4.6 out of 5(16),4.6 out of 5
Hisense REF094DR - 94 Liters Fridge - Silver (2YRs WRTY),"KSh 19,500",4.3 out of 5(185),4.3 out of 5
Hisense 154L Double Door Refrigerator RD-20DR4SA  (2YRs WRTY),"KSh 38,999",4.2 out of 5(18),4.2 out of 5
"Smart Pro SFR 175-DT-I Double Door Refrigerator, 138L Silver (1YR WRTY)","KSh 27,299",4 out of 5(1),4 out of 5
Hisense RS-12DR4SA Single Door Direct Cool Fridge - 94L - Silver  (2YRs WRTY),"KSh 21,239",4.6 out of 5(50),4.6 out of 5
Ramtons RF/257- 2 Door Direct Cool Fridge - 213 Litres - Silver (1YR WRTY),"KSh 46,900",4.8 out of 5(41),4.8 out of 5
Roch RFR-150DT-I Top-Mounted Defrost Fridge - 118L ? Inox (1YR WRTY),"KSh 27,699",4.1 out of 5(39),4.1 out of 5
Ramtons RF/174 - 2 Door Direct Cool Fridge - 128 Litres - White (1YR WRTY),"KSh 29,500",4.3 out of 5(58),4.3 out of 5
Nunix 138L Double Door Fridge Energy Efficient BCD-138,"KSh 29,993",3.4 out of 5(5),3.4 out of 5
"Roch RFR-190S-I Single Door Refrigerator, 150L - Silver (1YR WRTY)","KSh 31,599",4.6 out of 5(110),4.6 out of 5
Ramtons RF/319- 430 LITERS SIDE BY SIDE LED NO FROST FRIDGE (1YR WRTY),"KSh 101,000",3.5 out of 5(2),3.5 out of 5
Ramtons RF/265 - 527L Side By Side LED Fridge - Silver (1YR WRTY),"KSh 149,300",5 out of 5(4),5 out of 5
Hisense REF094DR - 94L Single Door Fridge,"KSh 21,699",5 out of 5(2),5 out of 5
Hisense BLACK 176 Liters FRIDGE Single Door,"KSh 33,800",4 out of 5(1),4 out of 5
Volsmart 108L Double Door Fridge With A Larger Freezer Capacity (1YR WRTY),"KSh 24,300",3.3 out of 5(4),3.3 out of 5
"Ramtons RF/335 - 85L Single Door Refrigerator – Silver, (1YR WRTY)","KSh 15,999",4.1 out of 5(66),4.1 out of 5
Hisense 94 Liters Single Door Fridge REF094DR (2YRs WRTY),"KSh 16,799",4.4 out of 5(87),4.4 out of 5
"Ramtons RF/203, 2 Door Direct Cool Fridge, 128 Litres - Silver(1YR WRTY)","KSh 28,099",4.2 out of 5(69),4.2 out of 5
Roch RFR-120S-I Single Door Refrigerator - 90 Litres - Silver (1Y WRTY),"KSh 16,299",4.2 out of 5(477),4.2 out of 5
Nunix 138L Double Door Fridge Energy Efficient (1YR WRTY),"KSh 27,500",3.9 out of 5(149),3.9 out of 5
Smart Pro SFR-120S-I Single Door Refrigerator - 90 Litres - Silver (1YR WRTY),"KSh 15,799",4.4 out of 5(22),4.4 out of 5
Ramtons RF/217 - 2 Door Direct Cool Fridge - 213 Litres - Silver (1YR WRTY),"KSh 33,176",4.7 out of 5(22),4.7 out of 5
Roch RFR-150DT-I Top-Mounted Defrost Fridge - 118L - Inox (1Y WRTY) (1YR WRTY),"KSh 36,000",4.2 out of 5(106),4.2 out of 5
"Nunix Fridge Double Door, 210L Energy Efficient BCD-210","KSh 36,850",4 out of 5(4),4 out of 5
"VON VRT-138DRHX Double Door FRIDGE 136L,INOX, (1YR WRTY)","KSh 29,009",4 out of 5(68),4 out of 5
Nunix 92L Single Door Fridge Energy Efficient BC-92 (1YR WRTY),"KSh 17,850",4.3 out of 5(88),4.3 out of 5
"Vitron VDR128DS, 125 Liters Double Door Fridge - Silver Hairline (1YR WRTY)","KSh 26,670",4.5 out of 5(108),4.5 out of 5
Ramtons RF/222 - 2 Door Fridge - 88 L - Silver Flower (1YR WRTY),"KSh 21,999",4 out of 5(87),4 out of 5
"Roch RFR-160DT-B Double Door Fridge, 126L - Silver (1YR WRTY)","KSh 25,799",4.2 out of 5(20),4.2 out of 5
"Roch RFR-210-DT-I Double Door Refrigerator, 170L - Silver, (1YR WRTY)","KSh 33,099",4.3 out of 5(88),4.3 out of 5
Ramtons RF/130- 213L 2 Door Direct Cool Fridge+ Dispenser (1YR WRTY),"KSh 48,100",4.5 out of 5(26),4.5 out of 5
Hisense 206L Double Door Refrigerator RD-27DR4SA  (2YRs WRTY),"KSh 41,050",4.4 out of 5(47),4.4 out of 5
"Smart Pro SFR-210-DT-I Double Door Refrigerator, 170L - Silver (1YR WRTY)","KSh 31,999",4.5 out of 5(6),4.5 out of 5
"Roch RFR-190S-I Single Door Refrigerator, 150L - Silver (1YR WRTY)","KSh 28,600",4.1 out of 5(11),4.1 out of 5
"Roch RFR-160DT-B Double Door Fridge, 126L ? Silver (1YR WRTY)","KSh 27,699",4.6 out of 5(27),4.6 out of 5
Haier HRD-1954CSS Single Door Direct Cool Fridge 190 Litres - Silver,"KSh 36,895",4.6 out of 5(16),4.6 out of 5
Hisense REF094DR - 94 Liters Fridge - Silver (2YRs WRTY),"KSh 19,500",4.3 out of 5(185),4.3 out of 5
Hisense 154L Double Door Refrigerator RD-20DR4SA  (2YRs WRTY),"KSh 38,999",4.2 out of 5(18),4.2 out of 5
"Smart Pro SFR 175-DT-I Double Door Refrigerator, 138L Silver (1YR WRTY)","KSh 27,299",4 out of 5(1),4 out of 5
Ramtons RF/257- 2 Door Direct Cool Fridge - 213 Litres - Silver (1YR WRTY),"KSh 46,900",4.8 out of 5(41),4.8 out of 5
Hisense RS-12DR4SA Single Door Direct Cool Fridge - 94L - Silver  (2YRs WRTY),"KSh 21,239",4.6 out of 5(50),4.6 out of 5
Roch RFR-150DT-I Top-Mounted Defrost Fridge - 118L ? Inox (1YR WRTY),"KSh 27,699",4.1 out of 5(39),4.1 out of 5
Ramtons RF/174 - 2 Door Direct Cool Fridge - 128 Litres - White (1YR WRTY),"KSh 29,500",4.3 out of 5(58),4.3 out of 5
Nunix 138L Double Door Fridge Energy Efficient BCD-138,"KSh 29,993",3.4 out of 5(5),3.4 out of 5
